franchise_id,team_id,league,division,location,nickname,alternative_nicknames,date_start,date_end,city,state
CV5,CV5,NN1,,Cleveland,Tigers,,1928-01-01,1928-12-31,Cleveland,OH
CV6,CV6,NN1,,Cleveland,Cubs,,1931-01-01,1931-12-31,Cleveland,OH
CV7,CV7,,,Cleveland,Giants,,1933-01-01,1933-12-31,Cleveland,OH
CV8,CV8,,,Cleveland,Red Sox,,1934-01-01,1934-12-31,Cleveland,OH
CV9,CV9,NAL,,Cleveland,Bears,,1939-01-01,1940-12-31,Cleveland,OH
CVB,CVB,NAL,,Cleveland,Buckeyes,,1943-01-01,1948-12-31,Cleveland,OH
CVS,CVS,,,Cleveland,Stars,,1932-01-01,1932-12-31,Cleveland,OH
DAY,DAY,NN1,,Dayton,Marcos,,1918-01-01,1926-12-31,Dayton,OH
DI1,DI1,,,Detroit - Indianapolis,Stars,,1933-01-01,1933-12-31,,
DT1,DT1,NN1,,Detroit,Stars,,1919-01-01,1931-12-31,Detroit,MI
DT2,DT2,NAL,,Detroit,Stars,,1937-01-01,1937-12-31,Detroit,MI
DTW,DTW,EW,,Detroit,Wolves,,1932-01-01,1932-12-31,Detroit,MI
ECG,ECG,,,Eastern,Colored Giants,,1941-01-01,1941-12-31,,
GLK,GLK,,,Great Lakes,Naval Training,,1943-01-01,1943-12-31,,
HAE,HAE,ECL,,Harrisburg,Giants,,1924-01-01,1927-12-31,Harrisburg,PA
HAS,HAS,,,Harlem,Stars,,1931-01-01,1931-12-31,New York,NY
HIL,HIL,ECL,,Hilldale,Giants,,1917-01-01,1932-12-31,Hilldale,PA
HOM,HOM,NN2,,Homestead,Grays,,1918-01-01,1948-12-31,Homestead,PA
HSL,HSL,NN2,,Harrisburg - St. Louis,Stars,,1943-01-01,1943-12-31,,
IND,IND,NN1,,Indianapolis,ABC's,,1907-01-01,1926-12-31,Indianapolis,IN
IN5,IN5,,,Indianapolis,ABC's,,1931-01-01,1932-12-31,Indianapolis,IN
IN6,IN6,,,Indianapolis,Athletics,,1937-01-01,1937-12-31,Indianapolis,IN
IN7,IN7,NAL,,Indianapolis,ABC's,,1938-01-01,1938-12-31,Indianapolis,IN
IN8,IN8,NAL,,Indianapolis,Crawfords,,1940-01-01,1940-12-31,Indianapolis,IN
IN9,IN9,NAL,,Indianapolis,Clowns,,1946-01-01,1948-12-31,Indianapolis,IN
JAX,JAX,,,Jacksonville,Red Caps,,1938-01-01,1942-12-31,Jacksonville,FL
KCM,KCM,NN1;NAL,,Kansas City,Monarchs,,1920-01-01,1948-12-31,Kansas City,MO
KCR,KCR,,,Kansas City,Royals,,1943-01-01,1948-12-31,Kansas City,MO
KLK,KLK,,,Kelley,Kars,,1930-01-01,1930-12-31,,
LRS,LRS,NSL,,Little Rock,Black Travelers,,1932-01-01,1932-12-31,Little Rock,AR
LS4,LS4,,,Louisville,White Caps,,1930-01-01,1932-12-31,Louisville,KY
MEM,MEM,NAL,,Memphis,Red Sox,,1924-01-01,1948-12-31,Memphis,TN
ML4,ML4,NN1,,Milwaukee,Bears,,1923-01-01,1923-12-31,Milwaukee,WI
MLS,MLS,,,Major League,All Stars,,1931-01-01,1948-12-31,,
MNR,MNR,NSL,,Monroe,Monarchs,,1932-01-01,1932-12-31,Monroe,LA
MTG,MTG,NSL,,Montgomery,Grey Sox,,1932-01-01,1932-12-31,Montgomery,AL
NAS,NAS,,,North,All Stars,,1944-01-01,1945-12-31,,
NBG,NBG,,,New York,Bacharach Giants,,1922-01-01,1922-12-31,New York,NY
NLS,NLS,,,National League,All Stars,,1932-01-01,1932-12-31,,
NNS,NNS,,,Negro League,All Stars,,1934-01-01,1945-12-31,,
NSH,NSH,,,Nashville,Elite Giants,,1929-01-01,1934-12-31,Nashville,TN
NW1,NW1,NN2,,Newark,Dodgers,,1934-01-01,1935-12-31,Newark,NJ
NW2,NW2,NN2,,Newark,Eagles,,1936-01-01,1948-12-31,Newark,NJ
NWS,NWS,,,Newark,Stars,,1926-01-01,1926-12-31,Newark,NJ
NWW,NWW,,,Newark,Browns,,1932-01-01,1932-12-31,Newark,NJ
NY5,NY5,NN2,,New York,Black Yankees,,1932-01-01,1948-12-31,New York,NY
NY6,NY6,NN2,,New York,Cubans,,1935-01-01,1948-12-31,New York,NY
NYL,NYL,ECL,,New York,Lincoln Giants,,1911-01-01,1930-12-31,New York,NY
PH5,PH5,NN2,,Philadelphia,Stars,,1934-01-01,1948-12-31,Philadelphia,PA
PH6,PH6,,,Philadelphia,Bacharach Giants,,1934-01-01,1934-12-31,Philadelphia,PA
PHE,PHE,,,Philadelphia,Tigers,,1928-01-01,1928-12-31,Philadelphia,PA
PIR,PIR,,,Pirrone,All Stars,,1925-01-01,1943-12-31,Pirrone,
PRC,PRC,,,Pennsylvania,Red Caps,,1917-01-01,1920-12-31,,
PRG,PRG,,,Philadelphia,Royal Giants,,1925-01-01,1942-12-31,Philadelphia,PA
PRK,PRK,,,Parker,All Stars,,1942-01-01,1945-12-31,,
PTC,PTC,NN2,,Pittsburgh,Crawfords,,1931-01-01,1938-12-31,Pittsburgh,PA
PTK,PTK,,,Pittsburgh,Keystones,,1922-01-01,1922-12-31,Pittsburgh,PA
SAS,SAS,,,South,All Stars,,1944-01-01,1945-12-31,,
SCU,SCU,,,Stars,of Cuba,,1931-01-01,1931-12-31,,
SHR,SHR,,,Shroyer,All Stars,,1935-01-01,1935-12-31,,
SHV,SHV,,,Shevlin,All Stars,,1933-01-01,1933-12-31,,
SLG,SLG,NN1,,St. Louis,Giants,,1911-01-01,1921-12-31,St. Louis,MO
SNO,SNO,NAL,,St. Louis - New Orleans,Stars,,1940-01-01,1941-12-31,,
SSA,SSA,NAL,,St. Louis,Stars,,1937-01-01,1939-12-31,St. Louis,MO
SSN,SSN,NN1,,St. Louis,Stars,,1922-01-01,1931-12-31,St. Louis,MO
TLC,TLC,NN2;NAL,,Toledo,Crawfords,,1939-01-01,1939-12-31,Toledo,OH
TLN,TLN,,,Toledo,Tigers,,1923-01-01,1923-12-31,Toledo,OH
TWA,TWA,,,Ted Williams,All Stars,,1941-01-01,1941-12-31,,
VDA,VDA,,,Vince DiMaggio,All Stars,,1945-01-01,1945-12-31,,
WBS,WBS,,,Washington,Black Senators,,1938-01-01,1938-12-31,Washington,DC
WEG,WEG,NN2,,Washington,Elite Giants,,1936-01-01,1937-12-31,Washington,DC
WHK,WHK,,,White,Kings,,1925-01-01,1937-12-31,,
WLE,WLE,ECL,,Wilmington,Potomacs,,1925-01-01,1925-12-31,Wilmington,DE
WPS,WPS,,,Western Pipe & Steel,Boilermakers,,1943-01-01,1943-12-31,,
WSE,WSE,ECL,,Washington,Potomacs,,1924-01-01,1924-12-31,Washington,DC
WSW,WSW,EW,,Washington,Pilots,,1932-01-01,1932-12-31,Washington,DC
